,bq_ac,er_ac1,er_ac2
total,2.7084277823634233,0.15508522507627376,0.17226949245489287
high,2.507414932598681,0.1783367287696116,0.1989277591030736
low,2.5279732965217936,0.18673823462057326,0.21773852491738976
z1,1.80828759804256,0.14084285992346568,0.1656545014992239
z2,2.6625202488426085,0.23068575281153558,0.2752324368027823
z3,2.832645921829698,0.22430041288849845,0.2581487205910964
