,z,z_l,z_u,bq,bq_u,bq_l
0,1.08,0.8,1.3,1.82,0.14,0.16
1,1.51,1.3,1.7,2.79,0.27,0.31
2,1.94,1.7,2.2,2.72,0.21,0.24
