,z,z_l,z_u,bq,bq_u,bq_l
0,1.08,0.8,1.3,1.98277,0.03339,0.03333
1,1.51,1.3,1.7,2.47272,0.03596,0.03506
2,1.94,1.7,2.2,2.96309,0.04675,0.04579
