,z,z_l,z_u,bq,bq_u,bq_l
0,0.526,0.526,0.526,1.13,0.18,0.18
1,0.804,0.804,0.804,1.49,0.21,0.21
2,1.026,1.026,1.026,1.71,0.24,0.24
3,1.225,1.225,1.225,2.31,0.23,0.23
4,1.413,1.413,1.413,2.32,0.27,0.27
5,1.579,1.579,1.579,2.24,0.3,0.3
6,1.745,1.745,1.745,2.17,0.35,0.35
7,1.921,1.921,1.921,2.91,0.35,0.35
8,2.131,2.131,2.131,3.53,0.38,0.38
9,2.475,2.475,2.475,4.24,0.53,0.53
