,bq_a,er_a1,er_a2,bq_c,er_c1,er_c2
total,2.4085557378841944,0.022896150265188542,0.023559732546453827,2.0397337078613473,0.1279407252231033,0.12636671073039274
high,2.441058031427154,0.036213377982079464,0.03550775201101253,2.1822547421794116,0.16643495820730037,0.16771206444278874
low,2.3500381023739187,0.03739237857326794,0.037110785667888724,1.95060221629448,0.16378224057998314,0.16088618135320765
z1,1.94749111340791,0.033616918281782704,0.033142799431941095,1.942103382397959,0.1624463265392373,0.16522169090135286
z2,2.407477007589093,0.03773914484341123,0.037716551433231604,1.8046544775104465,0.21742472775357125,0.22453485705973852
z3,2.8820991174244446,0.044375984508187916,0.04500139285560323,2.801077440414355,0.24964952794303663,0.24713139420511787
