,z,z_l,z_u,bq,bq_u,bq_l
0,0.75,0.4,1.0,1.7369999999999999,0.12600000000000003,0.135
1,1.2,1.0,1.4,2.05,0.11,0.11
2,1.53,1.4,1.7,2.23,0.17,0.19
3,1.87,1.7,2.1,2.81,0.13,0.14
4,2.28,2.1,2.8,3.124,0.44000000000000006,0.517
