,z,z_l,z_u,bq,bq_u,bq_l
0,1.06,0.9,1.2,1.75,0.08,0.08
1,1.35,1.2,1.5,2.06,0.08,0.08
2,1.65,1.5,1.8,2.57,0.09,0.09
3,1.99,1.8,2.2,3.03,0.11,0.11
