,z,z_l,z_u,bq,bq_u,bq_l
0,1.08,0.8,1.3,1.98205,0.18039,0.18194
1,1.51,1.3,1.7,1.75465,0.22729,0.2306
2,1.94,1.7,2.2,3.05021,0.26026,0.26559
